#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	  -0.00000	 -99.87073	   0.00000	   0.00000	 -99.87073	 -53.77237
  0	 29	  -0.00000	-102.02256	   0.00000	   0.00000	-102.02256	 -56.55389
  0	 28	  -0.00000	-103.62103	   0.00000	   0.00000	-103.62103	 -58.74072
  0	 27	  -0.00000	-104.63658	   0.00000	   0.00000	-104.63658	 -60.30168
  0	 26	  -0.00000	-105.04897	   0.00000	   0.00000	-105.04897	 -61.21491
  0	 25	  -0.00000	-104.84788	   0.00000	   0.00000	-104.84788	 -61.46855
  0	 24	  -0.00000	-104.03322	   0.00000	   0.00000	-104.03322	 -61.06104
  0	 23	  -0.00000	-102.61511	   0.00000	   0.00000	-102.61511	 -60.00115
  0	 22	  -0.00000	-100.61371	   0.00000	   0.00000	-100.61371	 -58.30779
  0	 21	  -0.00000	 -98.05864	   0.00000	   0.00000	 -98.05864	 -56.00948
  0	 20	  -0.00000	 -94.98826	   0.00000	   0.00000	 -94.98826	 -53.14362
  0	 19	  -0.00000	 -91.44862	   0.00000	   0.00000	 -91.44862	 -49.75551
  0	 18	  -0.00000	 -87.49234	   0.00000	   0.00000	 -87.49234	 -45.89719
  0	 17	  -0.00000	 -83.17725	   0.00000	   0.00000	 -83.17725	 -41.62610
  0	 16	  -0.00000	 -78.56499	   0.00000	   0.00000	 -78.56499	 -37.00372
  0	 15	  -0.00000	 -73.71957	   0.00000	   0.00000	 -73.71957	 -32.09408
  0	 14	  -0.00000	 -68.70586	   0.00000	   0.00000	 -68.70586	 -26.96233
  0	 13	  -0.00000	 -63.58823	   0.00000	   0.00000	 -63.58823	 -21.67327
  0	 12	  -0.00000	 -58.42920	   0.00000	   0.00000	 -58.42920	 -16.29008
  0	 11	  -0.00000	 -53.28824	   0.00000	   0.00000	 -53.28824	 -10.87306
  0	 10	  -0.00000	 -48.22072	   0.00000	   0.00000	 -48.22072	  -5.47860
  0	  9	  -0.00000	 -43.27706	   0.00000	   0.00000	 -43.27706	  -0.15827
  0	  8	  -0.00000	 -38.50205	   0.00000	   0.00000	 -38.50205	   5.04186
  0	  7	  -0.00000	 -33.93434	   0.00000	   0.00000	 -33.93434	  10.08172
  0	  6	  -0.00000	 -29.60615	   0.00000	   0.00000	 -29.60615	  14.92760
  0	  5	   0.00000	 -25.54321	   0.00000	   0.00000	 -25.54321	  19.55221
  0	  4	   0.00000	 -21.76475	   0.00000	   0.00000	 -21.76475	  23.93468
  0	  3	   0.00000	 -18.28378	   0.00000	   0.00000	 -18.28378	  28.06036
  0	  2	   0.00000	 -15.10742	   0.00000	   0.00000	 -15.10742	  31.92046
  0	  1	   0.00000	 -12.23733	   0.00000	   0.00000	 -12.23733	  35.51162

  1	 30	  -0.00000	-106.98028	   0.00000	   0.00000	-106.98028	 -62.22916
  1	 29	  -0.00000	-109.27493	   0.00000	   0.00000	-109.27493	 -65.17273
  1	 28	  -0.00000	-110.97489	   0.00000	   0.00000	-110.97489	 -67.47953
  1	 27	  -0.00000	-112.04836	   0.00000	   0.00000	-112.04836	 -69.11600
  1	 26	  -0.00000	-112.47357	   0.00000	   0.00000	-112.47357	 -70.05861
  1	 25	  -0.00000	-112.23937	   0.00000	   0.00000	-112.23937	 -70.29452
  1	 24	  -0.00000	-111.34561	   0.00000	   0.00000	-111.34561	 -69.82197
  1	 23	  -0.00000	-109.80311	   0.00000	   0.00000	-109.80311	 -68.65030
  1	 22	  -0.00000	-107.63349	   0.00000	   0.00000	-107.63349	 -66.79974
  1	 21	  -0.00000	-104.86854	   0.00000	   0.00000	-104.86854	 -64.30085
  1	 20	  -0.00000	-101.54943	   0.00000	   0.00000	-101.54943	 -61.19378
  1	 19	  -0.00000	 -97.72566	   0.00000	   0.00000	 -97.72566	 -57.52716
  1	 18	  -0.00000	 -93.45379	   0.00000	   0.00000	 -93.45379	 -53.35689
  1	 17	  -0.00000	 -88.79600	   0.00000	   0.00000	 -88.79600	 -48.74475
  1	 16	  -0.00000	 -83.81863	   0.00000	   0.00000	 -83.81863	 -43.75688
  1	 15	  -0.00000	 -78.59057	   0.00000	   0.00000	 -78.59057	 -38.46220
