#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	  36.97202	  -0.00000	   0.00000	   0.10260	  74.04664	 123.35308
  0	 29	  36.15529	  -0.00000	   0.00000	   0.10260	  72.41318	 121.07656
  0	 28	  35.30850	  -0.00000	   0.00000	   0.10260	  70.71959	 118.77815
  0	 27	  34.43385	  -0.00000	   0.00000	   0.10260	  68.97029	 116.46371
  0	 26	  33.53391	  -0.00000	   0.00000	   0.10260	  67.17043	 114.13983
  0	 25	  32.61165	  -0.00000	   0.00000	   0.10260	  65.32589	 111.81379
  0	 24	  31.67036	  -0.00000	   0.00000	   0.10260	  63.44331	 109.49356
  0	 23	  30.71372	  -0.00000	   0.00000	   0.10260	  61.53003	 107.18772
  0	 22	  29.74573	  -0.00000	   0.00000	   0.10260	  59.59406	 104.90549
  0	 21	  28.77074	  -0.00000	   0.00000	   0.10260	  57.64407	 102.65657
  0	 20	  27.79335	  -0.00000	   0.00000	   0.10260	  55.68930	 100.45117
  0	 19	  26.81845	  -0.00000	   0.00000	   0.10260	  53.73951	  98.29986
  0	 18	  25.85116	  -0.00000	   0.00000	   0.10260	  51.80492	  96.21353
  0	 17	  24.89676	  -0.00000	   0.00000	   0.10260	  49.89611	  94.20328
  0	 16	  23.96067	  -0.00000	   0.00000	   0.10260	  48.02395	  92.28031
  0	 15	  23.04843	  -0.00000	   0.00000	   0.10260	  46.19947	  90.45582
  0	 14	  22.16558	  -0.00000	   0.00000	   0.10260	  44.43377	  88.74093
  0	 13	  21.31766	  -0.00000	   0.00000	   0.10260	  42.73792	  87.14653
  0	 12	  20.51012	  -0.00000	   0.00000	   0.10260	  41.12284	  85.68319
  0	 11	  19.74829	  -0.00000	   0.00000	   0.10260	  39.59918	  84.36105
  0	 10	  19.03730	  -0.00000	   0.00000	   0.10260	  38.17720	  83.18970
  0	  9	  18.38203	  -0.00000	   0.00000	   0.10260	  36.86667	  82.17809
  0	  8	  17.78707	  -0.00000	   0.00000	   0.10260	  35.67674	  81.33443
  0	  7	  17.25662	  -0.00000	   0.00000	   0.10260	  34.61584	  80.66609
  0	  6	  16.79451	  -0.00000	   0.00000	   0.10260	  33.69161	  80.17951
  0	  5	  16.40408	  -0.00000	   0.00000	   0.10260	  32.91076	  79.88016
  0	  4	  16.08820	  -0.00000	   0.00000	   0.10260	  32.27901	  79.77243
  0	  3	  15.84922	  -0.00000	   0.00000	   0.10260	  31.80103	  79.85959
  0	  2	  15.68889	  -0.00000	   0.00000	   0.10260	  31.48039	  80.14377
  0	  1	  15.60843	  -0.00000	   0.00000	   0.10260	  31.31946	  80.62590

  1	 30	  36.15529	  -0.00000	   0.00000	   0.10260	  72.41318	 120.37801
  1	 29	  35.27714	  -0.00000	   0.00000	   0.10260	  70.65689	 117.96043
  1	 28	  34.36668	  -0.00000	   0.00000	   0.10260	  68.83596	 115.51706
  1	 27	  33.42626	  -0.00000	   0.00000	   0.10260	  66.95512	 113.05420
  1	 26	  32.45866	  -0.00000	   0.00000	   0.10260	  65.01992	 110.57895
  1	 25	  31.46705	  -0.00000	   0.00000	   0.10260	  63.03669	 108.09915
  1	 24	  30.45498	  -0.00000	   0.00000	   0.10260	  61.01256	 105.62337
  1	 23	  29.42640	  -0.00000	   0.00000	   0.10260	  58.95541	 103.16089
  1	 22	  28.38563	  -0.00000	   0.00000	   0.10260	  56.87387	 100.72162
  1	 21	  27.33733	  -0.00000	   0.00000	   0.10260	  54.77725	  98.31603
  1	 20	  26.28645	  -0.00000	   0.00000	   0.10260	  52.67549	  95.95510
  1	 19	  25.23825	  -0.00000	   0.00000	   0.10260	  50.57909	  93.65025
  1	 18	  24.19822	  -0.00000	   0.00000	   0.10260	  48.49903	  91.41319
  1	 17	  23.17205	  -0.00000	   0.00000	   0.10260	  46.44670	  89.25587
  1	 16	  22.16558	  -0.00000	   0.00000	   0.10260	  44.43377	  87.19034
  1	 15	  21.18475	  -0.00000	   0.00000	   0.10260	  42.47209	  85.22867
  1	 14	  20.23551	  -0.00000	   0.00000	   0.10260	  40.57363	  83.38280
  1	 13	  19.32383	  -0.00000	   0.00000	   0.10260	  38.75026	  81.66442
  1	 12	  18.45557	  -0.00000	   0.00000	   0.10260	  37.01374	  80.08491
