#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	   0.00000	   1.88416	   0.00000	  -0.16795	   1.71621	  58.13047
  0	 29	   0.00000	   2.03302	   0.00000	  -1.44318	   0.58984	  56.44217
  0	 28	   0.00000	   2.18113	   0.00000	  -2.52264	  -0.34151	  54.98387
  0	 27	   0.00000	   2.32668	   0.00000	  -3.32754	  -1.00087	  53.83354
  0	 26	   0.00000	   2.46776	   0.00000	  -3.87311	  -1.40536	  52.97503
  0	 25	   0.00000	   2.60243	   0.00000	  -4.19323	  -1.59079	  52.37347
  0	 24	   0.00000	   2.72876	   0.00000	  -4.35617	  -1.62741	  51.95949
  0	 23	   0.00000	   2.84485	   0.00000	  -4.41392	  -1.56907	  51.68006
  0	 22	   0.00000	   2.94888	   0.00000	  -4.41392	  -1.46504	  51.48668
  0	 21	   0.00000	   3.03919	   0.00000	  -4.41392	  -1.37473	  51.32062
  0	 20	   0.00000	   3.11429	   0.00000	  -4.41392	  -1.29963	  51.18098
  0	 19	   0.00000	   3.17292	   0.00000	  -4.41392	  -1.24100	  51.06702
  0	 18	   0.00000	   3.21407	   0.00000	  -4.41392	  -1.19985	  50.97815
  0	 17	   0.00000	   3.23702	   0.00000	  -4.41392	  -1.17690	  50.91396
  0	 16	   0.00000	   3.24135	   0.00000	  -4.41392	  -1.17256	  50.87426
  0	 15	   0.00000	   3.22697	   0.00000	  -4.41392	  -1.18694	  50.85906
  0	 14	   0.00000	   3.19411	   0.00000	  -4.41392	  -1.21980	  50.86859
  0	 13	   0.00000	   3.14331	   0.00000	  -4.41392	  -1.27061	  50.90329
  0	 12	   0.00000	   3.07542	   0.00000	  -4.41392	  -1.33850	  50.96379
  0	 11	   0.00000	   2.99155	   0.00000	  -4.41392	  -1.42237	  51.05091
  0	 10	   0.00000	   2.89308	   0.00000	  -4.41392	  -1.52083	  51.16559
  0	  9	   0.00000	   2.78160	   0.00000	  -4.41392	  -1.63232	  51.30891
  0	  8	   0.00000	   2.65885	   0.00000	  -4.41392	  -1.75507	  51.48202
  0	  7	   0.00000	   2.52669	   0.00000	  -4.35617	  -1.82948	  51.74386
  0	  6	   0.00000	   2.38709	   0.00000	  -4.19323	  -1.80614	  52.14307
  0	  5	   0.00000	   2.24200	   0.00000	  -3.87311	  -1.63111	  52.73277
  0	  4	   0.00000	   2.09339	   0.00000	  -3.32754	  -1.23415	  53.58232
  0	  3	   0.00000	   1.94316	   0.00000	  -2.52264	  -0.57948	  54.72658
  0	  2	   0.00000	   1.79309	   0.00000	  -1.44318	   0.34991	  56.18157
  0	  1	   0.00000	   1.64485	   0.00000	  -0.16795	   1.47690	  57.86918

  1	 30	   0.00000	   2.20363	   0.00000	  -1.44318	   0.76045	  55.79403
  1	 29	   0.00000	   2.37719	   0.00000	  -3.00463	  -0.62744	  53.82998
  1	 28	   0.00000	   2.54976	   0.00000	  -4.32636	  -1.77660	  52.14023
  1	 27	   0.00000	   2.71923	   0.00000	  -5.31478	  -2.59555	  50.81737
  1	 26	   0.00000	   2.88337	   0.00000	  -5.98474	  -3.10136	  49.84535
  1	 25	   0.00000	   3.03992	   0.00000	  -6.38029	  -3.34037	  49.17885
  1	 24	   0.00000	   3.18660	   0.00000	  -6.58419	  -3.39759	  48.73381
  1	 23	   0.00000	   3.32120	   0.00000	  -6.66182	  -3.34062	  48.44352
