#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	   8.93901	 375.16039	   0.00000	  -0.29043	 392.74798	 449.22028
  0	 29	   8.90525	 375.17268	   0.00000	  -2.49566	 390.48752	 446.42386
  0	 28	   8.87198	 375.18340	   0.00000	  -4.36235	 388.56501	 444.00081
  0	 27	   8.83938	 375.19234	   0.00000	  -5.75425	 387.11686	 442.08851
  0	 26	   8.80766	 375.19928	   0.00000	  -6.69769	 386.11691	 440.66171
  0	 25	   8.77700	 375.20404	   0.00000	  -7.25125	 385.50679	 439.66295
  0	 24	   8.74760	 375.20649	   0.00000	  -7.53303	 385.16865	 438.97519
  0	 23	   8.71965	 375.20651	   0.00000	  -7.63289	 385.01291	 438.50962
  0	 22	   8.69333	 375.20406	   0.00000	  -7.63289	 384.95783	 438.18518
  0	 21	   8.66882	 375.19912	   0.00000	  -7.63289	 384.90388	 437.90299
  0	 20	   8.64629	 375.19175	   0.00000	  -7.63289	 384.85145	 437.66395
  0	 19	   8.62591	 375.18203	   0.00000	  -7.63289	 384.80096	 437.46891
  0	 18	   8.60780	 375.17010	   0.00000	  -7.63289	 384.75282	 437.31866
  0	 17	   8.59211	 375.15615	   0.00000	  -7.63289	 384.70749	 437.21389
  0	 16	   8.57895	 375.14040	   0.00000	  -7.63289	 384.66542	 437.15519
  0	 15	   8.56841	 375.12311	   0.00000	  -7.63289	 384.62705	 437.14305
  0	 14	   8.56058	 375.10457	   0.00000	  -7.63289	 384.59284	 437.17785
  0	 13	   8.55550	 375.08507	   0.00000	  -7.63289	 384.56319	 437.25985
  0	 12	   8.55323	 375.06493	   0.00000	  -7.63289	 384.53850	 437.38916
  0	 11	   8.55377	 375.04447	   0.00000	  -7.63289	 384.51913	 437.56576
  0	 10	   8.55712	 375.02400	   0.00000	  -7.63289	 384.50536	 437.78950
  0	  9	   8.56326	 375.00381	   0.00000	  -7.63289	 384.49745	 438.06006
  0	  8	   8.57214	 374.98418	   0.00000	  -7.63289	 384.49558	 438.37700
  0	  7	   8.58370	 374.96536	   0.00000	  -7.53303	 384.59972	 438.83958
  0	  6	   8.59784	 374.94756	   0.00000	  -7.25125	 384.89199	 439.52912
  0	  5	   8.61448	 374.93096	   0.00000	  -6.69769	 385.46223	 440.53463
  0	  4	   8.63347	 374.91572	   0.00000	  -5.75425	 386.42842	 441.97321
  0	  3	   8.65470	 374.90193	   0.00000	  -4.36235	 387.84898	 443.90233
  0	  2	   8.67801	 374.88965	   0.00000	  -2.49566	 389.75000	 446.34710
  0	  1	   8.70323	 374.87893	   0.00000	  -0.29043	 391.99495	 449.17000

  1	 30	   8.84615	 375.23217	   0.00000	  -2.49566	 390.42881	 445.50967
  1	 29	   8.80816	 375.24725	   0.00000	  -5.19583	 387.66774	 442.19897
  1	 28	   8.77072	 375.26034	   0.00000	  -7.48148	 385.32030	 439.33798
  1	 27	   8.73404	 375.27114	   0.00000	  -9.19072	 383.54850	 437.08973
  1	 26	   8.69835	 375.27939	   0.00000	 -10.34927	 382.32682	 435.42971
  1	 25	   8.66385	 375.28488	   0.00000	 -11.03329	 381.57929	 434.28290
  1	 24	   8.63077	 375.28743	   0.00000	 -11.38588	 381.16308	 433.50738
  1	 23	   8.59931	 375.28692	   0.00000	 -11.52013	 380.96542	 432.99118
  1	 22	   8.56970	 375.28329	   0.00000	 -11.52013	 380.90256	 432.65131
  1	 21	   8.54212	 375.27652	   0.00000	 -11.52013	 380.84064	 432.35460
  1	 20	   8.51678	 375.26670	   0.00000	 -11.52013	 380.78012	 432.10206
  1	 19	   8.49384	 375.25393	   0.00000	 -11.52013	 380.72147	 431.89466
  1	 18	   8.47346	 375.23840	   0.00000	 -11.52013	 380.66520	 431.73329
  1	 17	   8.45581	 375.22035	   0.00000	 -11.52013	 380.61185	 431.61874
  1	 16	   8.44100	 375.20008	   0.00000	 -11.52013	 380.56195	 431.55173
  1	 15	   8.42914	 375.17792	   0.00000	 -11.52013	 380.51607	 431.53285
  1	 14	   8.42033	 375.15422	   0.00000	 -11.52013	 380.47474	 431.56256
  1	 13	   8.41462	 375.12937	   0.00000	 -11.52013	 380.43848	 431.64121
  1	 12	   8.41206	 375.10379	   0.00000	 -11.52013	 380.40777	 431.76898
  1	 11	   8.41267	 375.07786	   0.00000	 -11.52013	 380.38306	 431.94591
  1	 10	   8.41644	 375.05198	   0.00000	 -11.52013	 380.36473	 432.17189
  1	  9	   8.42335	 375.02653	   0.00000	 -11.52013	 380.35310	 432.44662
  1	  8	   8.43334	 375.00185	   0.00000	 -11.52013	 380.34840	 432.76967
  1	  7	   8.44634	 374.97826	   0.00000	 -11.38588	 380.48506	 433.27467
  1	  6	   8.46226	 374.95602	   0.00000	 -11.03329	 380.84724	 434.04496
  1	  5	   8.48097	 374.93536	   0.00000	 -10.34927	 381.54804	 435.19271
  1	  4	   8.50235	 374.91645	   0.00000	  -9.19072	 382.73042	 436.85995
  1	  3	   8.52623	 374.89942	   0.00000	  -7.48148	 384.47041	 439.12167
  1	  2	   8.55246	 374.88435	   0.00000	  -5.19583	 386.79344	 442.00225
  1	  1	   8.58084	 374.87127	   0.00000	  -2.49566	 389.53729	 445.33843

  2	 30	   8.74400	 375.31924	   0.00000	  -4.36235	 388.44490	 442.14017
  2	 29	   8.70137	 375.33761	   0.00000	  -7.48148	 385.25886	 438.39018
  2	 28	   8.65934	 375.35344	   0.00000	 -10.12176	 382.55036	 435.15446
  2	 27	   8.61817	 375.36637	   0.00000	 -12.09964	 380.50308	 432.61781
  2	 26	   8.57811	 375.37608	   0.00000	 -13.44026	 379.09203	 430.75632
  2	 25	   8.53939	 375.38229	   0.00000	 -14.23472	 378.22634	 429.48015
  2	 24	   8.50225	 375.38480	   0.00000	 -14.64725	 377.74205	 428.62630
  2	 23	   8.46695	 375.38345	   0.00000	 -14.81061	 377.50674	 428.06325
  2	 22	   8.43371	 375.37818	   0.00000	 -14.81061	 377.43500	 427.70641
  2	 21	   8.40276	 375.36900	   0.00000	 -14.81061	 377.36391	 427.39359
  2	 20	   8.37431	 375.35599	   0.00000	 -14.81061	 377.29400	 427.12594
  2	 19	   8.34856	 375.33931	   0.00000	 -14.81061	 377.22582	 426.90456
  2	 18	   8.32570	 375.31921	   0.00000	 -14.81061	 377.15999	 426.73045
  2	 17	   8.30588	 375.29599	   0.00000	 -14.81061	 377.09715	 426.60457
  2	 16	   8.28926	 375.27004	   0.00000	 -14.81061	 377.03795	 426.52773
  2	 15	   8.27595	 375.24177	   0.00000	 -14.81061	 376.98306	 426.50066
  2	 14	   8.26605	 375.21165	   0.00000	 -14.81061	 376.93315	 426.52394
  2	 13	   8.25964	 375.18018	   0.00000	 -14.81061	 376.88885	 426.59802
  2	 12	   8.25677	 375.14785	   0.00000	 -14.81061	 376.85078	 426.72316
  2	 11	   8.25745	 375.11517	   0.00000	 -14.81061	 376.81947	 426.89950
  2	 10	   8.26169	 375.08265	   0.00000	 -14.81061	 376.79542	 427.12695
  2	  9	   8.26944	 375.05076	   0.00000	 -14.81061	 376.77903	 427.40528
  2	  8	   8.28066	 375.01992	   0.00000	 -14.81061	 376.77062	 427.73405
  2	  7	   8.29525	 374.99052	   0.00000	 -14.64725	 376.93377	 428.27601
  2	  6	   8.31312	 374.96290	   0.00000	 -14.23472	 377.35442	 429.11617
  2	  5	   8.33412	 374.93734	   0.00000	 -13.44026	 378.16533	 430.38633
  2	  4	   8.35812	 374.91405	   0.00000	 -12.09964	 379.53065	 432.24959
  2	  3	   8.38493	 374.89318	   0.00000	 -10.12176	 381.54127	 434.79576
  2	  2	   8.41436	 374.87482	   0.00000	  -7.48148	 384.22206	 438.04859
  2	  1	   8.44622	 374.85899	   0.00000	  -4.36235	 387.38908	 441.82297

  3	 30	   8.63198	 375.42410	   0.00000	  -5.75425	 386.93381	 439.24982
  3	 29	   8.58424	 375.44631	   0.00000	  -9.19072	 383.42407	 435.16108
  3	 28	   8.53719	 375.46530	   0.00000	 -12.09964	 380.44004	 431.63547
  3	 27	   8.49110	 375.48062	   0.00000	 -14.28099	 378.18183	 428.87430
  3	 26	   8.44624	 375.49188	   0.00000	 -15.75953	 376.62483	 426.85411
  3	 25	   8.40288	 375.49876	   0.00000	 -16.63764	 375.66688	 425.47385
  3	 24	   8.36131	 375.50098	   0.00000	 -17.09557	 375.12803	 424.55463
  3	 23	   8.32178	 375.49839	   0.00000	 -17.25893	 374.88303	 423.97216
  3	 22	   8.28457	 375.49091	   0.00000	 -17.25893	 374.80112	 423.59657
  3	 21	   8.24992	 375.47855	   0.00000	 -17.25893	 374.71945	 423.26582
  3	 20	   8.21806	 375.46143	   0.00000	 -17.25893	 374.63863	 422.98120
  3	 19	   8.18923	 375.43978	   0.00000	 -17.25893	 374.55932	 422.74394
  3	 18	   8.16363	 375.41390	   0.00000	 -17.25893	 374.48224	 422.55523
  3	 17	   8.14145	 375.38420	   0.00000	 -17.25893	 374.40817	 422.41615
  3	 16	   8.12284	 375.35115	   0.00000	 -17.25893	 374.33790	 422.32769
  3	 15	   8.10794	 375.31530	   0.00000	 -17.25893	 374.27224	 422.29072
  3	 14	   8.09686	 375.27723	   0.00000	 -17.25893	 374.21201	 422.30596
  3	 13	   8.08968	 375.23756	   0.00000	 -17.25893	 374.15800	 422.37399
  3	 12	   8.08646	 375.19694	   0.00000	 -17.25893	 374.11094	 422.49520
  3	 11	   8.08723	 375.15600	   0.00000	 -17.25893	 374.07153	 422.66979
  3	 10	   8.09197	 375.11537	   0.00000	 -17.25893	 374.04038	 422.89777
  3	  9	   8.10065	 375.07562	   0.00000	 -17.25893	 374.01800	 423.17894
  3	  8	   8.11321	 375.03731	   0.00000	 -17.25893	 374.00480	 423.51290
  3	  7	   8.12955	 375.00091	   0.00000	 -17.09557	 374.16444	 424.06239
  3	  6	   8.14955	 374.96683	   0.00000	 -16.63764	 374.62829	 424.95781
  3	  5	   8.17307	 374.93542	   0.00000	 -15.75953	 375.52203	 426.32374
  3	  4	   8.19993	 374.90692	   0.00000	 -14.28099	 377.02580	 428.33923
  3	  3	   8.22995	 374.88152	   0.00000	 -12.09964	 379.24178	 431.10528
  3	  2	   8.26290	 374.85932	   0.00000	  -9.19072	 382.19441	 434.64511
  3	  1	   8.29857	 374.84035	   0.00000	  -5.75425	 385.68324	 438.75706

  4	 30	   8.50948	 375.54950	   0.00000	  -6.69769	 385.87077	 436.81433
  4	 29	   8.45617	 375.57612	   0.00000	 -10.34927	 382.13919	 432.48797
  4	 28	   8.40362	 375.59869	   0.00000	 -13.44026	 378.96567	 428.75778
  4	 27	   8.35215	 375.61665	   0.00000	 -15.75953	 376.56141	 425.83623
  4	 26	   8.30205	 375.62953	   0.00000	 -17.33155	 374.90207	 423.70025
  4	 25	   8.25363	 375.63693	   0.00000	 -18.26637	 373.87782	 422.24119
  4	 24	   8.20720	 375.63853	   0.00000	 -18.75507	 373.29785	 421.26941
  4	 23	   8.16305	 375.63414	   0.00000	 -18.91843	 373.04182	 420.66560
  4	 22	   8.12149	 375.62368	   0.00000	 -18.91843	 372.94824	 420.26924
  4	 21	   8.08279	 375.60718	   0.00000	 -18.91843	 372.85434	 419.91846
  4	 20	   8.04722	 375.58482	   0.00000	 -18.91843	 372.76082	 419.61470
  4	 19	   8.01502	 375.55687	   0.00000	 -18.91843	 372.66848	 419.35938
  4	 18	   7.98643	 375.52374	   0.00000	 -18.91843	 372.57817	 419.15385
  4	 17	   7.96165	 375.48595	   0.00000	 -18.91843	 372.49082	 418.99940
  4	 16	   7.94086	 375.44410	   0.00000	 -18.91843	 372.40740	 418.89720
  4	 15	   7.92422	 375.39887	   0.00000	 -18.91843	 372.32889	 418.84830
  4	 14	   7.91185	 375.35101	   0.00000	 -18.91843	 372.25628	 418.85360
  4	 13	   7.90384	 375.30130	   0.00000	 -18.91843	 372.19055	 418.91381
  4	 12	   7.90025	 375.25054	   0.00000	 -18.91843	 372.13260	 419.02949
  4	 11	   7.90110	 375.19953	   0.00000	 -18.91843	 372.08331	 419.20094
  4	 10	   7.90639	 375.14905	   0.00000	 -18.91843	 372.04341	 419.42828
  4	  9	   7.91609	 375.09981	   0.00000	 -18.91843	 372.01357	 419.71137
  4	  8	   7.93011	 375.05250	   0.00000	 -18.91843	 371.99430	 420.04983
  4	  7	   7.94836	 375.00770	   0.00000	 -18.75507	 372.14936	 420.60643
  4	  6	   7.97070	 374.96592	   0.00000	 -18.26637	 372.64096	 421.54230
  4	  5	   7.99697	 374.92756	   0.00000	 -17.33155	 373.58995	 422.97715
  4	  4	   8.02697	 374.89294	   0.00000	 -15.75953	 375.18735	 425.10077
  4	  3	   8.06049	 374.86227	   0.00000	 -13.44026	 377.54299	 428.02173
