#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	   0.00000	  -1.58713	   0.00000	   6.34980	   4.76267	  54.06911
  0	 29	   0.00000	  -1.79328	   0.00000	   6.34980	   4.55652	  53.21991
  0	 28	   0.00000	  -2.01469	   0.00000	   6.34980	   4.33511	  52.39366
  0	 27	   0.00000	  -2.25060	   0.00000	   6.34980	   4.09920	  51.59262
  0	 26	   0.00000	  -2.49986	   0.00000	   6.34980	   3.84994	  50.81935
  0	 25	   0.00000	  -2.76097	   0.00000	   6.34980	   3.58883	  50.07674
  0	 24	   0.00000	  -3.03204	   0.00000	   6.34980	   3.31776	  49.36800
  0	 23	   0.00000	  -3.31085	   0.00000	   6.34980	   3.03895	  48.69664
  0	 22	   0.00000	  -3.59479	   0.00000	   6.34980	   2.75501	  48.06643
  0	 21	   0.00000	  -3.88094	   0.00000	   6.34980	   2.46886	  47.48135
  0	 20	   0.00000	  -4.16612	   0.00000	   6.34980	   2.18368	  46.94555
  0	 19	   0.00000	  -4.44691	   0.00000	   6.34980	   1.90289	  46.46324
  0	 18	   0.00000	  -4.71972	   0.00000	   6.34980	   1.63008	  46.03870
  0	 17	   0.00000	  -4.98088	   0.00000	   6.34980	   1.36892	  45.67609
  0	 16	   0.00000	  -5.22671	   0.00000	   6.34980	   1.12309	  45.37945
  0	 15	   0.00000	  -5.45360	   0.00000	   6.34980	   0.89620	  45.15256
  0	 14	   0.00000	  -5.65811	   0.00000	   6.34980	   0.69169	  44.99886
  0	 13	   0.00000	  -5.83705	   0.00000	   6.34980	   0.51275	  44.92137
  0	 12	   0.00000	  -5.98755	   0.00000	   6.34980	   0.36225	  44.92260
  0	 11	   0.00000	  -6.10716	   0.00000	   6.34980	   0.24264	  45.00451
  0	 10	   0.00000	  -6.19390	   0.00000	   6.34980	   0.15590	  45.16840
  0	  9	   0.00000	  -6.24632	   0.00000	   6.34980	   0.10348	  45.41491
  0	  8	   0.00000	  -6.26353	   0.00000	   6.34980	   0.08627	  45.74396
  0	  7	   0.00000	  -6.24525	   0.00000	   6.34980	   0.10455	  46.15479
  0	  6	   0.00000	  -6.19180	   0.00000	   6.34980	   0.15800	  46.64590
