#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	   0.00000	   0.35740	   0.00000	   3.27635	   3.63375	  52.94019
  0	 29	   0.00000	   0.39129	   0.00000	   3.27635	   3.66764	  52.33102
  0	 28	   0.00000	   0.42590	   0.00000	   3.27635	   3.70225	  51.76081
  0	 27	   0.00000	   0.46088	   0.00000	   3.27635	   3.73723	  51.23065
  0	 26	   0.00000	   0.49584	   0.00000	   3.27635	   3.77219	  50.74160
  0	 25	   0.00000	   0.53037	   0.00000	   3.27635	   3.80672	  50.29462
  0	 24	   0.00000	   0.56402	   0.00000	   3.27635	   3.84037	  49.89061
  0	 23	   0.00000	   0.59633	   0.00000	   3.27635	   3.87268	  49.53037
  0	 22	   0.00000	   0.62685	   0.00000	   3.27635	   3.90320	  49.21462
  0	 21	   0.00000	   0.65512	   0.00000	   3.27635	   3.93147	  48.94397
  0	 20	   0.00000	   0.68072	   0.00000	   3.27635	   3.95707	  48.71894
  0	 19	   0.00000	   0.70324	   0.00000	   3.27635	   3.97959	  48.53994
  0	 18	   0.00000	   0.72232	   0.00000	   3.27635	   3.99867	  48.40729
  0	 17	   0.00000	   0.73765	   0.00000	   3.27635	   4.01400	  48.32116
  0	 16	   0.00000	   0.74896	   0.00000	   3.27635	   4.02531	  48.28167
  0	 15	   0.00000	   0.75608	   0.00000	   3.27635	   4.03243	  48.28878
  0	 14	   0.00000	   0.75887	   0.00000	   3.27635	   4.03522	  48.34239
  0	 13	   0.00000	   0.75730	   0.00000	   3.27635	   4.03365	  48.44227
  0	 12	   0.00000	   0.75140	   0.00000	   3.27635	   4.02775	  48.58810
  0	 11	   0.00000	   0.74126	   0.00000	   3.27635	   4.01761	  48.77948
  0	 10	   0.00000	   0.72707	   0.00000	   3.27635	   4.00342	  49.01592
  0	  9	   0.00000	   0.70906	   0.00000	   3.27635	   3.98541	  49.29683
  0	  8	   0.00000	   0.68753	   0.00000	   3.27635	   3.96388	  49.62157
  0	  7	   0.00000	   0.66284	   0.00000	   3.27635	   3.93919	  49.98943
  0	  6	   0.00000	   0.63538	   0.00000	   3.27635	   3.91173	  50.39963
  0	  5	   0.00000	   0.60557	   0.00000	   3.27635	   3.88192	  50.85132
  0	  4	   0.00000	   0.57386	   0.00000	   3.27635	   3.85021	  51.34363
  0	  3	   0.00000	   0.54070	   0.00000	   3.27635	   3.81705	  51.87560
  0	  2	   0.00000	   0.50654	   0.00000	   3.27635	   3.78289	  52.44627
  0	  1	   0.00000	   0.47183	   0.00000	   3.27635	   3.74818	  53.05462

  1	 30	   0.00000	   0.38788	   0.00000	   3.27635	   3.66423	  51.62906
  1	 29	   0.00000	   0.42527	   0.00000	   3.27635	   3.70162	  51.00516
