#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	   0.00000	   4.63492	   0.00000	  -0.25088	   4.38404	  56.31948
  0	 29	   0.00000	   5.00748	   0.00000	  -2.15580	   2.85167	  54.17113
  0	 28	   0.00000	   5.37928	   0.00000	  -3.76828	   1.61100	  52.35136
  0	 27	   0.00000	   5.74590	   0.00000	  -4.97063	   0.77526	  50.97468
  0	 26	   0.00000	   6.10264	   0.00000	  -5.78560	   0.31704	  50.01491
  0	 25	   0.00000	   6.44470	   0.00000	  -6.26378	   0.18093	  49.41785
  0	 24	   0.00000	   6.76724	   0.00000	  -6.50718	   0.26006	  49.07780
  0	 23	   0.00000	   7.06549	   0.00000	  -6.59344	   0.47204	  48.91344
  0	 22	   0.00000	   7.33488	   0.00000	  -6.59344	   0.74143	  48.85033
  0	 21	   0.00000	   7.57115	   0.00000	  -6.59344	   0.97771	  48.79887
  0	 20	   0.00000	   7.77049	   0.00000	  -6.59344	   1.17704	  48.75603
  0	 19	   0.00000	   7.92956	   0.00000	  -6.59344	   1.33612	  48.71920
  0	 18	   0.00000	   8.04568	   0.00000	  -6.59344	   1.45223	  48.68627
  0	 17	   0.00000	   8.11684	   0.00000	  -6.59344	   1.52339	  48.65567
  0	 16	   0.00000	   8.14178	   0.00000	  -6.59344	   1.54834	  48.62644
  0	 15	   0.00000	   8.12004	   0.00000	  -6.59344	   1.52659	  48.59830
  0	 14	   0.00000	   8.05193	   0.00000	  -6.59344	   1.45849	  48.57157
  0	 13	   0.00000	   7.93858	   0.00000	  -6.59344	   1.34514	  48.54725
  0	 12	   0.00000	   7.78187	   0.00000	  -6.59344	   1.18843	  48.52696
  0	 11	   0.00000	   7.58439	   0.00000	  -6.59344	   0.99094	  48.51287
  0	 10	   0.00000	   7.34935	   0.00000	  -6.59344	   0.75591	  48.50766
  0	  9	   0.00000	   7.08053	   0.00000	  -6.59344	   0.48709	  48.51445
  0	  8	   0.00000	   6.78217	   0.00000	  -6.59344	   0.18872	  48.53667
  0	  7	   0.00000	   6.45881	   0.00000	  -6.50718	  -0.04837	  48.66426
  0	  6	   0.00000	   6.11526	   0.00000	  -6.26378	  -0.14852	  48.97192
  0	  5	   0.00000	   5.75639	   0.00000	  -5.78560	  -0.02921	  49.54110
  0	  4	   0.00000	   5.38710	   0.00000	  -4.97063	   0.41647	  50.47755
  0	  3	   0.00000	   5.01216	   0.00000	  -3.76828	   1.24388	  51.83547
  0	  2	   0.00000	   4.63612	   0.00000	  -2.15580	   2.48032	  53.64091
  0	  1	   0.00000	   4.26323	   0.00000	  -0.25088	   4.01235	  55.77917

  1	 30	   0.00000	   5.43918	   0.00000	  -2.15580	   3.28338	  53.86336
  1	 29	   0.00000	   5.87556	   0.00000	  -4.48826	   1.38729	  51.33458
  1	 28	   0.00000	   6.31090	   0.00000	  -6.46265	  -0.15175	  49.20034
  1	 27	   0.00000	   6.73998	   0.00000	  -7.93913	  -1.19916	  47.59660
  1	 26	   0.00000	   7.15729	   0.00000	  -8.93991	  -1.78261	  46.49702
  1	 25	   0.00000	   7.55720	   0.00000	  -9.53078	  -1.97358	  45.83143
  1	 24	   0.00000	   7.93402	   0.00000	  -9.83536	  -1.90134	  45.47182
  1	 23	   0.00000	   8.28216	   0.00000	  -9.95132	  -1.66916	  45.31609
  1	 22	   0.00000	   8.59628	   0.00000	  -9.95132	  -1.35504	  45.28733
  1	 21	   0.00000	   8.87140	   0.00000	  -9.95132	  -1.07991	  45.26561
  1	 20	   0.00000	   9.10304	   0.00000	  -9.95132	  -0.84828	  45.24733
  1	 19	   0.00000	   9.28733	   0.00000	  -9.95132	  -0.66398	  45.22939
  1	 18	   0.00000	   9.42115	   0.00000	  -9.95132	  -0.53017	  45.20929
  1	 17	   0.00000	   9.50216	   0.00000	  -9.95132	  -0.44916	  45.18520
  1	 16	   0.00000	   9.52892	   0.00000	  -9.95132	  -0.42240	  45.15602
  1	 15	   0.00000	   9.50092	   0.00000	  -9.95132	  -0.45040	  45.12141
  1	 14	   0.00000	   9.41859	   0.00000	  -9.95132	  -0.53273	  45.08181
  1	 13	   0.00000	   9.28326	   0.00000	  -9.95132	  -0.66806	  45.03843
  1	 12	   0.00000	   9.09718	   0.00000	  -9.95132	  -0.85414	  44.99323
  1	 11	   0.00000	   8.86343	   0.00000	  -9.95132	  -1.08789	  44.94881
  1	 10	   0.00000	   8.58582	   0.00000	  -9.95132	  -1.36550	  44.90841
  1	  9	   0.00000	   8.26880	   0.00000	  -9.95132	  -1.68252	  44.87574
  1	  8	   0.00000	   7.91737	   0.00000	  -9.95132	  -2.03395	  44.85495
  1	  7	   0.00000	   7.53690	   0.00000	  -9.83536	  -2.29846	  44.96639
  1	  6	   0.00000	   7.13302	   0.00000	  -9.53078	  -2.39777	  45.28727
