#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	   0.00000	  -0.04486	   0.00000	   2.19233	   2.14748	  60.52766
  0	 29	   0.00000	  -0.04934	   0.00000	   2.19233	   2.14299	  60.35875
  0	 28	   0.00000	  -0.05396	   0.00000	   2.19233	   2.13837	  60.22798
  0	 27	   0.00000	  -0.05868	   0.00000	   2.19233	   2.13365	  60.13564
  0	 26	   0.00000	  -0.06345	   0.00000	   2.19233	   2.12888	  60.08196
  0	 25	   0.00000	  -0.06822	   0.00000	   2.19233	   2.12411	  60.06709
  0	 24	   0.00000	  -0.07293	   0.00000	   2.19233	   2.11940	  60.09109
  0	 23	   0.00000	  -0.07752	   0.00000	   2.19233	   2.11481	  60.15399
  0	 22	   0.00000	  -0.08193	   0.00000	   2.19233	   2.11040	  60.25569
  0	 21	   0.00000	  -0.08610	   0.00000	   2.19233	   2.10623	  60.39605
  0	 20	   0.00000	  -0.08997	   0.00000	   2.19233	   2.10236	  60.57485
  0	 19	   0.00000	  -0.09348	   0.00000	   2.19233	   2.09885	  60.79179
  0	 18	   0.00000	  -0.09657	   0.00000	   2.19233	   2.09576	  61.04649
  0	 17	   0.00000	  -0.09920	   0.00000	   2.19233	   2.09313	  61.33853
  0	 16	   0.00000	  -0.10132	   0.00000	   2.19233	   2.09101	  61.66740
  0	 15	   0.00000	  -0.10290	   0.00000	   2.19233	   2.08943	  62.03253
  0	 14	   0.00000	  -0.10391	   0.00000	   2.19233	   2.08842	  62.43329
  0	 13	   0.00000	  -0.10434	   0.00000	   2.19233	   2.08799	  62.86901
  0	 12	   0.00000	  -0.10417	   0.00000	   2.19233	   2.08816	  63.33896
  0	 11	   0.00000	  -0.10342	   0.00000	   2.19233	   2.08891	  63.84237
  0	 10	   0.00000	  -0.10208	   0.00000	   2.19233	   2.09025	  64.37843
  0	  9	   0.00000	  -0.10020	   0.00000	   2.19233	   2.09213	  64.94630
  0	  8	   0.00000	  -0.09779	   0.00000	   2.19233	   2.09454	  65.54511
  0	  7	   0.00000	  -0.09490	   0.00000	   2.19233	   2.09744	  66.17398
  0	  6	   0.00000	  -0.09157	   0.00000	   2.19233	   2.10076	  66.83199
  0	  5	   0.00000	  -0.08786	   0.00000	   2.19233	   2.10448	  67.51824
  0	  4	   0.00000	  -0.08382	   0.00000	   2.19233	   2.10852	  68.23181
  0	  3	   0.00000	  -0.07951	   0.00000	   2.19233	   2.11282	  68.97176
  0	  2	   0.00000	  -0.07500	   0.00000	   2.19233	   2.11733	  69.73720
  0	  1	   0.00000	  -0.07034	   0.00000	   2.19233	   2.12199	  70.52722

  1	 30	   0.00000	  -0.05405	   0.00000	   2.19233	   2.13828	  59.03002
  1	 29	   0.00000	  -0.05945	   0.00000	   2.19233	   2.13288	  58.85588
  1	 28	   0.00000	  -0.06502	   0.00000	   2.19233	   2.12731	  58.72084
  1	 27	   0.00000	  -0.07071	   0.00000	   2.19233	   2.12162	  58.62521
  1	 26	   0.00000	  -0.07646	   0.00000	   2.19233	   2.11588	  58.56926
  1	 25	   0.00000	  -0.08220	   0.00000	   2.19233	   2.11013	  58.55314
