#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	  10.03060	  -0.00000	   5.26821	   2.68889	  28.01830	 117.26995
  0	 29	   9.64639	  -0.00000	   5.06670	   2.68889	  27.04836	 116.32522
  0	 28	   9.27737	  -0.00000	   4.87311	   2.68889	  26.11675	 115.44400
  0	 27	   8.92594	  -0.00000	   4.68871	   2.68889	  25.22946	 114.63224
  0	 26	   8.59439	  -0.00000	   4.51470	   2.68889	  24.39237	 113.89576
  0	 25	   8.28497	  -0.00000	   4.35229	   2.68889	  23.61111	 113.24011
  0	 24	   7.99980	  -0.00000	   4.20258	   2.68889	  22.89107	 112.67056
  0	 23	   7.74087	  -0.00000	   4.06664	   2.68889	  22.23727	 112.19202
  0	 22	   7.51002	  -0.00000	   3.94542	   2.68889	  21.65436	 111.80898
  0	 21	   7.30891	  -0.00000	   3.83981	   2.68889	  21.14653	 111.52549
  0	 20	   7.13900	  -0.00000	   3.75058	   2.68889	  20.71747	 111.34504
  0	 19	   7.00153	  -0.00000	   3.67839	   2.68889	  20.37034	 111.27060
  0	 18	   6.89753	  -0.00000	   3.62376	   2.68889	  20.10770	 111.30451
  0	 17	   6.82775	  -0.00000	   3.58712	   2.68889	  19.93151	 111.44849
  0	 16	   6.79274	  -0.00000	   3.56873	   2.68889	  19.84309	 111.70362
  0	 15	   6.79274	  -0.00000	   3.56873	   2.68889	  19.84309	 112.07029
  0	 14	   6.82775	  -0.00000	   3.58712	   2.68889	  19.93151	 112.54823
  0	 13	   6.89753	  -0.00000	   3.62376	   2.68889	  20.10770	 113.13650
  0	 12	   7.00153	  -0.00000	   3.67839	   2.68889	  20.37034	 113.83347
  0	 11	   7.13900	  -0.00000	   3.75058	   2.68889	  20.71747	 114.63689
  0	 10	   7.30891	  -0.00000	   3.83981	   2.68889	  21.14653	 115.54386
  0	  9	   7.51002	  -0.00000	   3.94542	   2.68889	  21.65436	 116.55091
  0	  8	   7.74087	  -0.00000	   4.06664	   2.68889	  22.23727	 117.65402
  0	  7	   7.99980	  -0.00000	   4.20258	   2.68889	  22.89107	 118.84865
  0	  6	   8.28497	  -0.00000	   4.35229	   2.68889	  23.61111	 120.12980
  0	  5	   8.59439	  -0.00000	   4.51470	   2.68889	  24.39237	 121.49210
  0	  4	   8.92594	  -0.00000	   4.68871	   2.68889	  25.22946	 122.92981
  0	  3	   9.27737	  -0.00000	   4.87311	   2.68889	  26.11675	 124.43692
  0	  2	   9.64639	  -0.00000	   5.06670	   2.68889	  27.04836	 126.00723
  0	  1	  10.03060	  -0.00000	   5.26821	   2.68889	  28.01830	 127.63435

