#X	Y	Miss	Anxiety	ExploreH	ExploreP	Sum	Stress
  0	 30	   8.96112	  -0.75907	   0.00000	   1.14978	  18.31294	  67.61938
  0	 29	   8.15667	  -0.87031	   0.00000	   1.14978	  16.59281	  65.25619
  0	 28	   7.35027	  -0.99122	   0.00000	   1.14978	  14.85910	  62.91766
  0	 27	   6.54595	  -1.12152	   0.00000	   1.14978	  13.12016	  60.61358
  0	 26	   5.74792	  -1.26069	   0.00000	   1.14978	  11.38493	  58.35434
  0	 25	   4.96055	  -1.40800	   0.00000	   1.14978	   9.66288	  56.15078
  0	 24	   4.18832	  -1.56248	   0.00000	   1.14978	   7.96394	  54.01418
  0	 23	   3.43578	  -1.72292	   0.00000	   1.14978	   6.29841	  51.95611
  0	 22	   2.70751	  -1.88789	   0.00000	   1.14978	   4.67691	  49.98833
  0	 21	   2.00809	  -2.05573	   0.00000	   1.14978	   3.11021	  48.12271
  0	 20	   1.34200	  -2.22460	   0.00000	   1.14978	   1.60917	  46.37104
  0	 19	   0.71365	  -2.39249	   0.00000	   1.14978	   0.18458	  44.74493
  0	 18	   0.12726	  -2.55725	   0.00000	   1.14978	  -1.15295	  43.25566
  0	 17	  -0.41313	  -2.71666	   0.00000	   1.14978	  -2.39315	  41.91402
  0	 16	  -0.90375	  -2.86847	   0.00000	   1.14978	  -3.52620	  40.73015
  0	 15	  -1.34113	  -3.01044	   0.00000	   1.14978	  -4.54291	  39.71344
  0	 14	  -1.72211	  -3.14038	   0.00000	   1.14978	  -5.43482	  38.87234
  0	 13	  -2.04393	  -3.25627	   0.00000	   1.14978	  -6.19435	  38.21426
  0	 12	  -2.30423	  -3.35623	   0.00000	   1.14978	  -6.81491	  37.74544
  0	 11	  -2.50109	  -3.43863	   0.00000	   1.14978	  -7.29103	  37.47084
  0	 10	  -2.63304	  -3.50211	   0.00000	   1.14978	  -7.61840	  37.39410
  0	  9	  -2.69909	  -3.54562	   0.00000	   1.14978	  -7.79403	  37.51740
  0	  8	  -2.69876	  -3.56845	   0.00000	   1.14978	  -7.81620	  37.84150
  0	  7	  -2.63204	  -3.57026	   0.00000	   1.14978	  -7.68457	  38.36567
